년도,월,취급구분,단위,서울청,강원청,경인청,부산청,경북청,충청청,전남청,전북청,제주청,합계,점유율
2019,01,POLA,통,3257334,191780,5687732,1846083,1117216,1458903,816206,290817,299144,14965215,0.45
2019,02,POLA,통,2251488,127144,3916135,1217040,741631,1001492,530501,185485,210698,10181614,0.48
2019,03,POLA,통,2794518,161648,4604390,1349533,855730,1119160,581112,205817,239294,11911202,0.44
2019,04,POLA,통,2955562,164138,4720823,1378232,868954,1182971,578572,212423,238202,12299877,0.45
2019,05,POLA,통,3036172,168370,4926971,1447801,913481,1251680,601277,219283,259095,12824130,0.45
2019,06,POLA,통,2805642,154233,4576947,1320209,830801,1141131,540989,200519,233303,11803774,0.46
2019,07,POLA,통,2999717,159877,4892851,1416579,862658,1221766,567284,213445,241075,12575252,0.48
2019,08,POLA,통,2721905,159275,4624769,1365790,819534,1166364,518482,191089,237916,11805124,0.46
2019,09,POLA,통,2593267,161247,4501337,1455028,873143,1185760,549314,186813,250327,11756236,0.41
2019,10,POLA,통,2898389,182757,4979595,1631629,935776,1268190,595976,213949,255675,12961936,0.46
2019,11,POLA,통,3061796,196250,5320832,1788972,985127,1360502,633270,226578,281206,13854533,0.48
2019,12,POLA,통,2954547,199941,5219252,1684807,957648,1313119,604944,215369,259423,13409050,0.48
2020,01,POLA,통,3077724,222239,5393809,1839998,1100829,1444006,682984,231526,272635,14265750,0.49
2020,02,POLA,통,3190912,228471,5334880,1835359,1136621,1428690,478742,240770,247775,14122220,0.57
2020,03,POLA,통,3309525,253634,5752507,2003306,1196909,1555421,737139,266842,260093,15335376,0.53
2020,04,POLA,통,3108295,231905,5160841,1843660,1041038,1427692,711945,262015,270288,14057679,0.55
2020,05,POLA,통,3208890,238315,5251000,1946264,1060834,1473608,755990,271738,274951,14481590,0.57
2020,06,POLA,통,3108915,235415,5230462,1880575,1019533,1434471,714618,256576,250981,14131546,0.55
2020,07,POLA,통,3585822,249778,5635744,1985802,1165857,1553233,788866,305391,279621,15550114,0.61
2020,08,POLA,통,2910225,217767,4554880,1683500,985557,1311012,675767,264395,237629,12840732,0.61
2020,09,POLA,통,3369448,266138,5850488,2206885,1251638,1728022,898529,337503,266918,16175569,0.53
2020,10,POLA,통,3038850,228297,5156409,1935799,1102573,1480603,731640,297078,268183,14239432,0.54
2020,11,POLA,통,3232879,243181,5274306,1987011,1118754,1532387,749891,309302,294296,14742007,0.55
2020,12,POLA,통,3568659,280236,6087922,2293305,1268446,1786195,868643,347406,305723,16806535,0.51
2021,01,POLA,통,3369232,270961,5663866,2061359,1185205,1620119,795406,308828,291125,15566101,0.55
2021,02,POLA,통,2826528,227464,4960185,1850778,1104836,1463461,755934,287920,241734,13718840,0.50
2021,03,POLA,통,3433223,268660,5752429,2124391,1213990,1694473,811553,332698,296174,15927591,0.54
2021,04,POLA,통,3552414,272686,5906709,2200878,1248414,1744534,819085,343210,289128,16377058,0.56
2021,05,POLA,통,3092120,243314,5290546,1969216,1133261,1550086,747937,312747,284426,14623653,0.54
2021,06,POLA,통,2494088,238566,3846754,1743656,850413,1081355,544191,236586,202117,11237726,0.48
2021,07,POLA,통,3560137,269781,5742580,2165708,1234998,1667612,805161,322724,290596,16059297,0.58
2021,08,POLA,통,3083810,234674,4988415,1865878,1048795,1424882,658727,296462,238206,13839849,0.57
2021,09,POLA,통,3168133,262178,5693540,2205061,1229867,1698860,953201,324273,266656,15801769,0.51
2021,10,POLA,통,3244849,247221,5529836,2048972,1164135,1630892,813944,315648,283060,15278557,0.55
2021,11,POLA,통,3421814,265700,5792899,2166003,1230420,1681644,806265,338185,296613,15999543,0.54
2021,12,POLA,통,3620987,285030,6317175,2341892,1342192,1775763,881174,353455,335179,17252847,0.53
